pickup_time,dropoff_time,id_taxi,pickup_long,pickup_lat,dropoff_long,dropoff_lat,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers
1/5/13 17:34,1/5/13 17:48,33A0B414EB87DB2538CB5929BF1EEE0D,-73.948334,40.776482,-73.99176,40.733841,5.2,18.0,0.0,0.5,0.0,0.0,CSH,1
1/5/13 18:49,1/5/13 18:54,0BD7C8F5BA12B88E0B67BED28BEA73D8,-74.004707,40.737770000000005,-74.009834,40.726002,1.1,5.5,1.0,0.5,0.0,0.0,CSH,1
1/5/13 18:59,1/5/13 19:12,24B56A4A0AC119529DBA559181C14FE4,-73.993202,40.724407,-73.984833,40.748740999999995,2.4,11.0,0.0,0.5,0.0,0.0,CSH,1
1/5/13 19:04,1/5/13 19:13,0F9E0728AB1E40D5CEB0C6EDBF805CCB,-73.96668199999999,40.761139,-73.938515,40.792332,2.8,10.0,0.0,0.5,0.0,0.0,CSH,1
1/5/13 19:45,1/5/13 19:57,764CA5AE502C0FEC9BB69DBCB6BB4ECC,-73.98934200000001,40.763168,-73.991577,40.750309,1.1,9.0,0.0,0.5,0.0,0.0,CSH,2
1/5/13 19:52,1/5/13 20:08,251012565308E6E0E67550CFBBD253AB,-73.999146,40.734352,-73.983322,40.773598,3.5,14.0,0.0,0.5,0.0,0.0,CSH,4
1/5/13 20:51,1/5/13 21:02,764CA5AE502C0FEC9BB69DBCB6BB4ECC,-73.99382800000001,40.721008000000005,-73.9524,40.723228000000006,3.3,12.0,0.5,0.5,0.0,0.0,CSH,3
1/5/13 21:04,1/5/13 21:11,0DDA4FBFADAE0126868397C423989193,-73.9879,40.737755,-73.979568,40.730965000000005,0.9,6.5,0.5,0.5,0.0,0.0,CSH,1
1/5/13 21:23,1/5/13 21:25,E8950C1BF2CE598E95DE0CA5C89FA4BA,-73.959496,40.779441999999996,-73.960724,40.775745,0.3,3.5,0.5,0.5,0.0,0.0,CSH,1
1/5/13 21:28,1/5/13 21:38,FC82D4D00FE8AB93B2973EECB3559EA8,-73.96615600000001,40.764412,-73.97318299999999,40.792542,2.9,11.0,0.5,0.5,0.0,0.0,CSH,2
1/6/13 0:15,1/6/13 0:27,B33E71CD9E8FE1BE3B70FEB6E807DD15,-74.00505799999999,40.728676,-73.977501,40.757061,3.4,12.5,0.5,0.5,0.0,0.0,CSH,1
1/6/13 0:18,1/6/13 0:22,0BD7C8F5BA12B88E0B67BED28BEA73D8,-74.006683,40.731781,-73.994499,40.750659999999996,1.5,6.0,0.5,0.5,0.0,0.0,CSH,1
1/6/13 0:46,1/6/13 1:02,26FC1764E8F96A8233F8C77F21D4161A,-73.991173,40.74313,-74.013763,40.702296999999994,4.5,17.0,0.5,0.5,0.0,0.0,CSH,1
1/6/13 5:27,1/6/13 5:55,F2EFF06903356502C5F6A00B6015F979,-73.784103,40.648663,-73.961952,40.812176,18.87,52.0,0.0,0.5,0.0,4.8,CSH,1
1/6/13 10:56,1/6/13 11:06,9BB803DFE81D89F77C37D4C05BB1ABA1,-73.95871,40.768471000000005,-73.973656,40.763348,1.2,8.0,0.0,0.5,0.0,0.0,CSH,2
1/6/13 16:37,1/6/13 16:41,CBA5A347BB1107C22444175A81393D41,-73.995102,40.744781,-73.992508,40.738434000000005,0.7,5.0,1.0,0.5,0.0,0.0,CSH,1
1/6/13 22:18,1/6/13 22:26,26B6CDD419985C6F551F0FAE87EF3AA9,-74.003059,40.723473,-73.976883,40.751884000000004,2.9,10.5,0.5,0.5,0.0,0.0,CSH,1
1/6/13 22:29,1/6/13 22:33,26B6CDD419985C6F551F0FAE87EF3AA9,-73.97522,40.751698,-73.98689300000001,40.75592,0.7,5.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 4:45,1/7/13 4:48,2C159C8FCCDE50174CF6CFC07E75F1BA,-73.991936,40.749621999999995,-73.978531,40.751308,0.9,5.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 6:08,1/7/13 6:13,E6FBF80668FE0611AEA44FD9574A7E32,-73.96212,40.769737,-73.979561,40.755390000000006,1.7,7.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 6:26,1/7/13 6:28,A3B17384165197E18CA0A1BB61277EE9,-73.965317,40.769375,-73.96713299999999,40.763699,0.5,4.0,0.5,0.5,0.0,0.0,CSH,2
1/7/13 7:00,1/7/13 7:03,09C6A58617D39C6AF257965FE1EADADD,-73.989571,40.756386,-73.980858,40.761368,0.8,4.5,0.0,0.5,0.0,0.0,CSH,1
1/7/13 7:35,1/7/13 7:46,237F49C3ECC11F5024B254268F054384,-73.98850999999999,40.774307,-73.981094,40.755325,2.3,10.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 8:17,1/7/13 8:22,E6FBF80668FE0611AEA44FD9574A7E32,-73.992111,40.689701,-74.00715600000001,40.679295,1.5,7.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 8:29,1/7/13 8:34,FAE1370A694D0621FAE1E62FAFD64080,-73.986847,40.762066,-74.002892,40.760334,1.1,6.0,0.0,0.5,0.0,0.0,CSH,1
1/7/13 9:54,1/7/13 10:03,927778B147439831E9A9A478457D25E1,-73.95229300000001,40.766174,-73.956772,40.783718,1.7,8.5,0.0,0.5,0.0,0.0,CSH,1
